year,peninsula,species,count
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,1
2014,C,BCNH,3
2015,C,BCNH,2
2016,C,BCNH,2
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,B,BCNH,1
2014,B,BCNH,1
2014,B,BCNH,1
2014,B,BCNH,1
2014,B,BCNH,3
2015,B,BCNH,1
2020,B,BCNH,1
2014,B,BCNH,1
2020,B,BCNH,1
2014,B,BCNH,1
2014,B,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,3
2015,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,2
2016,C,BCNH,2
2017,C,BCNH,2
2014,C,BCNH,3
2015,C,BCNH,2
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,2
2017,C,BCNH,1
2014,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,2
2015,C,BCNH,2
2014,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,2
2014,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,2
2020,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,3
2015,C,BCNH,3
2016,C,BCNH,3
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2014,B,BCNH,1
2014,B,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2020,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,1
2016,C,BCNH,2
2017,C,BCNH,2
2014,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,2
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,1
2017,C,BCNH,4
2014,C,BCNH,2
2015,C,BCNH,3
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,2
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2021,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,4
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,2
2014,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,1
2011,B,BCNH,1
2011,B,BCNH,1
2014,B,BCNH,1
2013,B,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,2
2017,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,3
2016,C,BCNH,1
2016,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,2
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,2
2017,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2020,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,2
2021,C,BCNH,2
2016,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,2
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,2
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2016,B,BCNH,2
2015,B,BCNH,2
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2019,C,BCNH,1
2021,C,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,2
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2015,C,BCNH,2
2015,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,3
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,3
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,2
2017,B,BCNH,3
2017,B,BCNH,3
2017,B,BCNH,2
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,2
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,2
2017,B,BCNH,1
2019,B,BCNH,2
2017,B,BCNH,3
2017,B,BCNH,2
2017,B,BCNH,2
2019,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,3
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,2
2017,B,BCNH,2
2017,B,BCNH,1
2017,B,BCNH,2
2019,B,BCNH,1
2017,B,BCNH,3
2017,B,BCNH,2
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,2
2019,B,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,1
2020,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,2
2020,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,2
2017,C,BCNH,1
2017,C,BCNH,1
2019,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,2
2020,C,BCNH,2
2017,C,BCNH,1
2017,C,BCNH,1
2017,B,BCNH,2
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,4
2017,B,BCNH,2
2019,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,2
2019,B,BCNH,2
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2017,B,BCNH,3
2017,B,BCNH,2
2017,B,BCNH,1
2017,B,BCNH,2
2019,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,2
2017,B,BCNH,3
2017,B,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2021,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2021,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,2
2020,C,BCNH,2
2021,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,2
2015,C,BCNH,1
2015,C,BCNH,2
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,2
2017,C,BCNH,4
2015,C,BCNH,2
2016,C,BCNH,2
2017,C,BCNH,3
2020,C,BCNH,2
2015,C,BCNH,2
2016,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,2
2015,C,BCNH,1
2017,C,BCNH,1
2020,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2020,C,BCNH,3
2015,C,BCNH,3
2016,C,BCNH,1
2015,C,BCNH,1
2020,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,2
2015,C,BCNH,3
2016,C,BCNH,2
2020,C,BCNH,1
2017,B,BCNH,1
2020,B,BCNH,1
2020,B,BCNH,1
2020,B,BCNH,1
2020,B,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2019,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,2
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,3
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,3
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2020,C,BCNH,2
2015,C,BCNH,2
2016,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2020,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2015,C,BCNH,3
2020,C,BCNH,2
2015,C,BCNH,3
2016,C,BCNH,2
2015,C,BCNH,3
2016,C,BCNH,1
2020,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,2
2015,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,B,BCNH,2
2017,B,BCNH,1
2017,B,BCNH,2
2017,C,BCNH,1
2017,C,BCNH,1
2019,C,BCNH,1
2020,C,BCNH,1
2019,C,BCNH,1
2020,C,BCNH,2
2015,C,BCNH,2
2016,C,BCNH,3
2017,C,BCNH,2
2017,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,1
2019,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,2
2017,C,BCNH,1
2017,C,BCNH,1
2017,C,BCNH,1
2018,B,BCNH,2
2019,B,BCNH,2
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,3
2018,B,BCNH,3
2019,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,3
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,3
2018,B,BCNH,4
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,9
2019,B,BCNH,1
2018,B,BCNH,4
2018,B,BCNH,3
2018,B,BCNH,3
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,3
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,4
2019,B,BCNH,2
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,4
2018,B,BCNH,1
2019,B,BCNH,2
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,1
2019,C,BCNH,1
2018,B,BCNH,1
2020,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,3
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,2
2018,B,BCNH,1
2019,B,BCNH,2
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,3
2019,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,1
2018,B,BCNH,4
2018,B,BCNH,1
2019,B,BCNH,4
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,2
2018,A,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,4
2019,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,2
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,2
2018,B,BCNH,2
2019,B,BCNH,3
2018,B,BCNH,3
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,4
2018,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,6
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,2
2019,B,BCNH,2
2018,B,BCNH,2
2018,B,BCNH,2
2018,B,BCNH,1
2018,B,BCNH,6
2018,B,BCNH,1
2018,B,BCNH,2
2018,A,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,2
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,2
2019,B,BCNH,3
2018,B,BCNH,2
2019,B,BCNH,3
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,5
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2020,C,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2020,B,BCNH,1
2020,B,BCNH,1
2020,B,BCNH,2
2020,B,BCNH,1
2020,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,7
2019,B,BCNH,2
2018,B,BCNH,1
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,3
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,2
2018,B,BCNH,2
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,6
2019,B,BCNH,3
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2018,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,3
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,5
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,6
2019,B,BCNH,4
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,3
2019,B,BCNH,5
2019,B,BCNH,1
2019,B,BCNH,3
2019,B,BCNH,3
2019,B,BCNH,10
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,2
2019,C,BCNH,2
2020,C,BCNH,1
2019,C,BCNH,1
2020,C,BCNH,1
2019,C,BCNH,1
2019,C,BCNH,1
2019,C,BCNH,1
2019,C,BCNH,1
2020,C,BCNH,1
2021,C,BCNH,1
2019,C,BCNH,1
2020,C,BCNH,7
2019,C,BCNH,3
2020,C,BCNH,2
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,2
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,3
2020,C,BCNH,1
2020,C,BCNH,2
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,2
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,1
2021,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,2
2020,C,BCNH,2
2020,C,BCNH,1
2020,C,BCNH,1
2020,C,BCNH,1
2020,B,BCNH,1
2020,B,BCNH,1
2020,A,BCNH,2
2021,C,BCNH,1
2021,C,BCNH,1
2021,C,BCNH,1
2021,C,BCNH,1
2021,C,BCNH,1
2021,C,BCNH,1
2021,C,BCNH,1
2021,C,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,4
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,2
2019,B,BCNH,2
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
2019,B,BCNH,1
