"year","peninsula","species","total_count","prev_count","count_diff","count_max","growth_index"
2011,"A","DCCO",11,7,4,11,0.363636363636364
2011,"B","BCNH",73,2,71,73,0.972602739726027
2011,"B","DCCO",875,455,420,875,0.48
2011,"C","BCNH",292,142,150,292,0.513698630136986
2011,"C","DCCO",3985,3580,405,3985,0.101631116687578
2012,"A","BCNH",0,0,0,0,0
2012,"A","DCCO",16,11,5,16,0.3125
2012,"B","BCNH",11,73,-62,73,-0.849315068493151
2012,"B","DCCO",685,875,-190,875,-0.217142857142857
2012,"C","BCNH",328,292,36,328,0.109756097560976
2012,"C","DCCO",3106,3985,-879,3985,-0.220577164366374
2013,"A","BCNH",0,0,0,0,0
2013,"A","DCCO",7,16,-9,16,-0.5625
2013,"B","BCNH",13,11,2,13,0.153846153846154
2013,"B","DCCO",877,685,192,877,0.218928164196123
2013,"C","BCNH",250,328,-78,328,-0.23780487804878
2013,"C","DCCO",2455,3106,-651,3106,-0.209594333547972
2014,"A","BCNH",0,0,0,0,0
2014,"A","DCCO",6,7,-1,7,-0.142857142857143
2014,"B","BCNH",25,13,12,25,0.48
2014,"B","DCCO",812,877,-65,877,-0.0741163055872292
2014,"C","BCNH",356,250,106,356,0.297752808988764
2014,"C","DCCO",2139,2455,-316,2455,-0.128716904276986
2015,"A","BCNH",0,0,0,0,0
2015,"A","DCCO",4,6,-2,6,-0.333333333333333
2015,"B","BCNH",51,25,26,51,0.509803921568627
2015,"B","DCCO",777,812,-35,812,-0.0431034482758621
2015,"C","BCNH",321,356,-35,356,-0.098314606741573
2015,"C","DCCO",1834,2139,-305,2139,-0.142589995324918
2016,"A","BCNH",0,0,0,0,0
2016,"A","DCCO",0,4,-4,4,-1
2016,"B","BCNH",21,51,-30,51,-0.588235294117647
2016,"B","DCCO",660,777,-117,777,-0.150579150579151
2016,"C","BCNH",296,321,-25,321,-0.0778816199376947
2016,"C","DCCO",1512,1834,-322,1834,-0.175572519083969
2017,"A","BCNH",0,0,0,0,0
2017,"A","DCCO",0,0,0,0,0
2017,"B","BCNH",155,21,134,155,0.864516129032258
2017,"B","DCCO",1803,660,1143,1803,0.633943427620632
2017,"C","BCNH",178,296,-118,296,-0.398648648648649
2017,"C","DCCO",3034,1512,1522,3034,0.501647989452867
2018,"A","BCNH",2,0,2,2,1
2018,"A","DCCO",0,0,0,0,0
2018,"B","BCNH",225,155,70,225,0.311111111111111
2018,"B","DCCO",82,1803,-1721,1803,-0.954520244037715
2018,"C","BCNH",0,178,-178,178,-1
2018,"C","DCCO",96,3034,-2938,3034,-0.968358602504944
2019,"A","BCNH",0,2,-2,2,-1
2019,"A","DCCO",53,0,53,53,1
2019,"B","BCNH",235,225,10,235,0.0425531914893617
2019,"B","DCCO",1307,82,1225,1307,0.93726090283091
2019,"C","BCNH",58,0,58,58,1
2019,"C","DCCO",2522,96,2426,2522,0.961934972244251
2020,"A","BCNH",2,0,2,2,1
2020,"A","DCCO",472,53,419,472,0.88771186440678
2020,"B","BCNH",16,235,-219,235,-0.931914893617021
2020,"B","DCCO",909,1307,-398,1307,-0.30451415455241
2020,"C","BCNH",122,58,64,122,0.524590163934426
2020,"C","DCCO",2716,2522,194,2716,0.0714285714285714
2021,"A","BCNH",0,2,-2,2,-1
2021,"A","DCCO",20,472,-452,472,-0.957627118644068
2021,"B","BCNH",0,16,-16,16,-1
2021,"B","DCCO",449,909,-460,909,-0.506050605060506
2021,"C","BCNH",74,122,-48,122,-0.39344262295082
2021,"C","DCCO",1569,2716,-1147,2716,-0.422312223858616
2022,"A","BCNH",0,0,0,0,0
2022,"A","DCCO",0,20,-20,20,-1
2022,"B","BCNH",0,0,0,0,0
2022,"B","DCCO",94,449,-355,449,-0.790645879732739
2022,"C","BCNH",0,74,-74,74,-1
2022,"C","DCCO",906,1569,-663,1569,-0.422562141491396
2023,"A","BCNH",0,0,0,0,0
2023,"A","DCCO",644,0,644,644,1
2023,"B","BCNH",0,0,0,0,0
2023,"B","DCCO",266,94,172,266,0.646616541353383
2023,"C","BCNH",0,0,0,0,0
2023,"C","DCCO",1339,906,433,1339,0.323375653472741
