treeid,year,xcoord,ycoord,tag,peninsula,northing,easting,bcnh_count,dcco_count
5661,2003,633927.220500000054017,4831255.768400000408292,5661,B,,,1,0
5661,2004,633927.220500000054017,4831255.768400000408292,5661,B,,,1,0
5661,2005,633927.220500000054017,4831255.768400000408292,5661,B,,,2,0
5662,2002,633926.772299999953248,4831254.155000000260770,5662,B,,,1,0
5662,2003,633926.772299999953248,4831254.155000000260770,5662,B,,,2,0
5662,2004,633926.772299999953248,4831254.155000000260770,5662,B,,,3,0
5662,2005,633926.772299999953248,4831254.155000000260770,5662,B,,,4,0
5662,2006,633926.772299999953248,4831254.155000000260770,5662,B,,,4,0
5662,2008,633926.772299999953248,4831254.155000000260770,5662,B,,,1,1
5662,2011,633926.772299999953248,4831254.155000000260770,5662,B,,,2,1
5663,2002,633921.339099999982864,4831255.906999999657273,5663,B,,,2,0
5663,2003,633921.339099999982864,4831255.906999999657273,5663,B,,,2,0
5664,2002,633919.355699999956414,4831255.752500000409782,5664,B,,,1,0
5664,2003,633919.355699999956414,4831255.752500000409782,5664,B,,,1,0
5664,2004,633919.355699999956414,4831255.752500000409782,5664,B,,,1,0
5665,2002,633918.497600000002421,4831256.076999999582767,5665,B,,,1,0
5665,2003,633918.497600000002421,4831256.076999999582767,5665,B,,,1,0
5665,2004,633918.497600000002421,4831256.076999999582767,5665,B,,,2,0
5665,2006,633918.497600000002421,4831256.076999999582767,5665,B,,,2,0
5665,2007,633918.497600000002421,4831256.076999999582767,5665,B,,,1,1
5665,2008,633918.497600000002421,4831256.076999999582767,5665,B,,,1,0
5666,2002,633915.235699999961071,4831258.009999999776483,5666,B,,,4,0
5666,2003,633915.235699999961071,4831258.009999999776483,5666,B,,,3,0
5666,2004,633915.235699999961071,4831258.009999999776483,5666,B,,,2,0
5666,2005,633915.235699999961071,4831258.009999999776483,5666,B,,,2,0
5667,2002,633916.200900000054389,4831253.080299999564886,5667,B,,,2,0
5668,2002,633916.053799999994226,4831248.816999999806285,5668,B,,,2,0
5668,2003,633916.053799999994226,4831248.816999999806285,5668,B,,,1,0
5668,2004,633916.053799999994226,4831248.816999999806285,5668,B,,,2,0
5668,2005,633916.053799999994226,4831248.816999999806285,5668,B,,,4,0
5668,2006,633916.053799999994226,4831248.816999999806285,5668,B,,,1,0
5668,2007,633916.053799999994226,4831248.816999999806285,5668,B,,,2,0
5669,2002,633915.806600000010803,4831247.066999999806285,5669,B,,,1,0
5669,2003,633915.806600000010803,4831247.066999999806285,5669,B,,,3,0
5669,2004,633915.806600000010803,4831247.066999999806285,5669,B,,,2,0
5669,2005,633915.806600000010803,4831247.066999999806285,5669,B,,,1,0
5669,2011,633915.806600000010803,4831247.066999999806285,5669,B,,,1,3
5670,2002,633914.728499999968335,4831248.618300000205636,5670,B,,,1,0
5670,2004,633914.728499999968335,4831248.618300000205636,5670,B,,,1,0
5670,2005,633914.728499999968335,4831248.618300000205636,5670,B,,,1,0
5671,2002,633912.096999999950640,4831247.522400000132620,5671,B,,,3,0
5671,2003,633912.096999999950640,4831247.522400000132620,5671,B,,,2,0
5671,2004,633912.096999999950640,4831247.522400000132620,5671,B,,,3,0
5672,2002,633912.515200000023469,4831245.003200000151992,5672,B,,,1,0
5672,2003,633912.515200000023469,4831245.003200000151992,5672,B,,,1,0
5672,2004,633912.515200000023469,4831245.003200000151992,5672,B,,,1,0
5672,2006,633912.515200000023469,4831245.003200000151992,5672,B,,,1,0
5673,2002,633907.807700000004843,4831249.392300000414252,5673,B,,,1,0
5673,2003,633907.807700000004843,4831249.392300000414252,5673,B,,,4,0
5673,2004,633907.807700000004843,4831249.392300000414252,5673,B,,,1,0
5673,2005,633907.807700000004843,4831249.392300000414252,5673,B,,,1,0
5674,2002,633909.376799999969080,4831252.768000000156462,5674,B,,,3,0
5674,2003,633909.376799999969080,4831252.768000000156462,5674,B,,,2,0
5674,2004,633909.376799999969080,4831252.768000000156462,5674,B,,,2,0
5675,2002,633910.002699999953620,4831252.485999999567866,10606,B,,,2,0
5675,2003,633910.002699999953620,4831252.485999999567866,10606,B,,,4,0
5675,2004,633910.002699999953620,4831252.485999999567866,10606,B,,,2,0
5675,2005,633910.002699999953620,4831252.485999999567866,10606,B,,,2,0
5675,2006,633910.002699999953620,4831252.485999999567866,10606,B,,,2,0
5675,2008,633910.002699999953620,4831252.485999999567866,10606,B,,,2,0
5676,2002,633910.138799999956973,4831255.712299999780953,5676,B,,,1,0
5676,2003,633910.138799999956973,4831255.712299999780953,5676,B,,,1,0
5676,2004,633910.138799999956973,4831255.712299999780953,5676,B,,,1,0
5676,2005,633910.138799999956973,4831255.712299999780953,5676,B,,,2,0
5676,2006,633910.138799999956973,4831255.712299999780953,5676,B,,,1,0
5677,2002,633910.339999999967404,4831257.543399999849498,5677,B,,,2,0
5677,2003,633910.339999999967404,4831257.543399999849498,5677,B,,,2,0
5677,2004,633910.339999999967404,4831257.543399999849498,5677,B,,,3,0
5678,2002,633913.823199999984354,4831257.190999999642372,5678,B,,,1,0
5678,2003,633913.823199999984354,4831257.190999999642372,5678,B,,,2,0
5678,2004,633913.823199999984354,4831257.190999999642372,5678,B,,,1,0
5679,2002,633916.819800000055693,4831258.238400000147521,5679,B,,,3,0
5679,2003,633916.819800000055693,4831258.238400000147521,5679,B,,,1,0
5679,2005,633916.819800000055693,4831258.238400000147521,5679,B,,,2,0
5679,2006,633916.819800000055693,4831258.238400000147521,5679,B,,,1,0
5680,2002,633916.796399999991991,4831262.782200000248849,5680,B,,,7,0
5680,2003,633916.796399999991991,4831262.782200000248849,5680,B,,,5,0
5680,2005,633916.796399999991991,4831262.782200000248849,5680,B,,,2,0
5680,2006,633916.796399999991991,4831262.782200000248849,5680,B,,,1,0
5680,2007,633916.796399999991991,4831262.782200000248849,5680,B,,,2,0
5680,2008,633916.796399999991991,4831262.782200000248849,5680,B,,,2,0
5681,2002,633920.337399999960326,4831264.893000000156462,5681,B,,,1,0
5681,2003,633920.337399999960326,4831264.893000000156462,5681,B,,,1,0
5682,2002,633923.212300000013784,4831265.632299999706447,5682,B,,,2,0
5683,2002,633925.400799999944866,4831264.298000000417233,5683,B,,,2,0
5683,2003,633925.400799999944866,4831264.298000000417233,5683,B,,,1,0
5683,2004,633925.400799999944866,4831264.298000000417233,5683,B,,,1,0
5683,2005,633925.400799999944866,4831264.298000000417233,5683,B,,,2,0
5683,2006,633925.400799999944866,4831264.298000000417233,5683,B,,,1,0
5684,2002,633920.949799999943934,4831263.081000000238419,5684,B,,,1,0
5684,2004,633920.949799999943934,4831263.081000000238419,5684,B,,,1,0
5684,2005,633920.949799999943934,4831263.081000000238419,5684,B,,,1,0
5685,2002,633924.712100000004284,4831263.453999999910593,5685,B,,,1,0
5685,2005,633924.712100000004284,4831263.453999999910593,5685,B,,,1,0
5685,2008,633924.712100000004284,4831263.453999999910593,5685,B,,,1,0
5686,2002,633929.675799999968149,4831265.621000000275671,5686,B,,,2,0
5686,2008,633929.675799999968149,4831265.621000000275671,5686,B,,,1,0
5687,2002,633927.146100000012666,4831267.665400000289083,5687,B,,,3,0
5687,2003,633927.146100000012666,4831267.665400000289083,5687,B,,,2,0
5689,2002,633931.788599999970756,4831266.658099999651313,5689,B,,,1,0
5689,2003,633931.788599999970756,4831266.658099999651313,5689,B,,,1,0
5689,2004,633931.788599999970756,4831266.658099999651313,5689,B,,,1,0
5689,2006,633931.788599999970756,4831266.658099999651313,5689,B,,,2,0
5690,2002,633925.999199999962002,4831258.590499999932945,5690,B,,,2,0
5690,2003,633925.999199999962002,4831258.590499999932945,5690,B,,,3,0
5690,2004,633925.999199999962002,4831258.590499999932945,5690,B,,,4,0
5690,2005,633925.999199999962002,4831258.590499999932945,5690,B,,,3,0
5690,2006,633925.999199999962002,4831258.590499999932945,5690,B,,,2,0
5690,2007,633925.999199999962002,4831258.590499999932945,5690,B,,,1,0
5690,2008,633925.999199999962002,4831258.590499999932945,5690,B,,,1,0
5883,1997,633874.831699999980628,4831309.566300000064075,5883,B,4831212.690999999642372,317640.180999999982305,1,0
5913,1996,633857.417200000025332,4831292.707999999634922,5913,B,4831191.894000000320375,317623.003000000026077,1,0
5913,1997,633857.417200000025332,4831292.707999999634922,5913,B,4831191.894000000320375,317623.003000000026077,1,0
5914,1997,633851.519399999990128,4831283.566100000403821,5914,B,4831187.235000000335276,317616.800999999977648,1,0
5914,1998,633851.519399999990128,4831283.566100000403821,5914,B,4831187.235000000335276,317616.800999999977648,1,0
6149,1997,633852.903000000049360,4831283.679100000299513,6149,B,0.000000000000000,0.000000000000000,1,0
6226,1997,633885.290000000037253,4831306.486999999731779,6226,B,0.000000000000000,0.000000000000000,1,0
6227,1998,633883.310799999977462,4831300.050999999977648,6227,B,0.000000000000000,0.000000000000000,1,0
6231,1997,633847.447000000043772,4831293.025000000372529,6231,B,0.000000000000000,0.000000000000000,1,0
6401,1997,633885.371500000008382,4831294.566399999894202,6401,B,0.000000000000000,0.000000000000000,1,0
6402,1997,633880.724500000011176,4831299.622999999672174,6402,B,0.000000000000000,0.000000000000000,1,0
6403,1997,633878.269899999955669,4831293.029000000096858,6403,B,0.000000000000000,0.000000000000000,1,0
6404,1997,633876.241099999984726,4831296.949000000022352,6404,B,0.000000000000000,0.000000000000000,2,0
6405,1997,633868.347999999998137,4831284.216000000014901,6405,B,0.000000000000000,0.000000000000000,1,0
6608,2003,633933.000000000000000,4831241.000000000000000,9973,B,,,2,0
6608,2004,633933.000000000000000,4831241.000000000000000,9973,B,,,4,0
6608,2005,633933.000000000000000,4831241.000000000000000,9973,B,,,2,0
6608,2006,633933.000000000000000,4831241.000000000000000,9973,B,,,2,0
