treeid,year,xcoord,ycoord,tag,peninsula,northing,easting,bcnh_count,dcco_count
6963,2009,633956.735100000048988,4831241.764499999582767,6963,B,,,1,0
6963,2011,633956.735100000048988,4831241.764499999582767,6963,B,,,4,0
6964,2003,633969.196600000024773,4831256.002199999988079,6964,B,,,1,0
6964,2004,633969.196600000024773,4831256.002199999988079,6964,B,,,3,0
6964,2005,633969.196600000024773,4831256.002199999988079,6964,B,,,3,0
6964,2006,633969.196600000024773,4831256.002199999988079,6964,B,,,2,0
6965,2003,633909.158500000019558,4831265.013000000268221,6965,B,,,4,0
6965,2004,633909.158500000019558,4831265.013000000268221,6965,B,,,2,0
6965,2005,633909.158500000019558,4831265.013000000268221,6965,B,,,1,0
6965,2006,633909.158500000019558,4831265.013000000268221,6965,B,,,3,0
6966,2003,633917.585199999972247,4831272.657200000248849,6966,B,,,1,0
6966,2007,633917.585199999972247,4831272.657200000248849,6966,B,,,1,4
6967,2003,633916.332199999946170,4831260.268099999986589,6967,B,,,1,0
6967,2004,633916.332199999946170,4831260.268099999986589,6967,B,,,1,0
6967,2005,633916.332199999946170,4831260.268099999986589,6967,B,,,1,0
6967,2006,633916.332199999946170,4831260.268099999986589,6967,B,,,1,0
6968,2003,633955.694000000017695,4831241.230000000447035,6968,B,,,2,0
6968,2004,633955.694000000017695,4831241.230000000447035,6968,B,,,3,0
6968,2005,633955.694000000017695,4831241.230000000447035,6968,B,,,3,0
6968,2006,633955.694000000017695,4831241.230000000447035,6968,B,,,2,0
6968,2009,633955.694000000017695,4831241.230000000447035,6968,B,,,1,0
6968,2011,633955.694000000017695,4831241.230000000447035,6968,B,,,2,0
6969,2003,633909.954700000002049,4831263.482099999673665,6969,B,,,1,0
6970,2003,633924.925500000012107,4831275.116999999620020,6970,B,,,1,0
6971,2003,633966.910900000017136,4831260.200000000186265,6971,B,,,1,0
6971,2004,633966.910900000017136,4831260.200000000186265,6971,B,,,1,0
6972,2003,633963.734300000010990,4831252.392199999652803,6972,B,,,1,0
6972,2004,633963.734300000010990,4831252.392199999652803,6972,B,,,2,0
6972,2005,633963.734300000010990,4831252.392199999652803,6972,B,,,2,0
6972,2006,633963.734300000010990,4831252.392199999652803,6972,B,,,1,0
6972,2007,633963.734300000010990,4831252.392199999652803,6972,B,,,1,0
6972,2008,633963.734300000010990,4831252.392199999652803,6972,B,,,1,0
6973,2003,633946.207000000053085,4831227.843500000424683,6973,B,,,1,0
6973,2004,633946.207000000053085,4831227.843500000424683,6973,B,,,1,0
6973,2005,633946.207000000053085,4831227.843500000424683,6973,B,,,1,0
6973,2011,633946.207000000053085,4831227.843500000424683,6973,B,,,1,0
6974,2003,633920.138000000035390,4831271.262099999934435,6974,B,,,1,0
