"model","parameter","mean","lower_CI","upper_CI","pMCMC"
"model3","(Intercept)",-0.0465439722773838,-0.358292680713411,0.290338907098722,0.775416666666667
"model3","bcnh_nest_density",0.163465065232374,-0.16465244966124,0.51326990937984,0.330833333333333
"model3","dcco_nest_density",0.0509196556408065,-0.283826091850173,0.41265112384894,0.75625
"model3","dcco_growthindex",0.531168210546538,0.196059666450157,0.853647722306235,0.00583333333333336
"model3","bcnh_road_proximity",-0.0906969448442783,-0.456240952727466,0.26578520962423,0.603333333333333
"model3","deterrence_activenestremoval",0.0887496280541677,-0.27093759187757,0.480475295583568,0.6325
